Iteration,Cost
0,3726814301
1,3726814301
2,3726814301
3,3726781940
4,3726781940
5,3726781940
6,3697343112
7,3697343112
8,3697343112
9,3697343112
10,3697343112
11,3697246408
12,3697246408
13,3697246408
14,3655563190
15,3655563190
16,3655563190
17,3655563190
18,3655563190
19,3655563190
20,3655563190
21,3655558940
22,3655558940
23,3655558940
24,3655558940
25,3655558940
26,3655558940
27,3655558940
28,3655558940
29,3655558940
30,3655558940
31,3655558940
32,3655558940
33,3655558940
34,3655558940
35,3655558940
36,3655558940
37,3655558940
38,3655558940
39,3655558940
40,3655558940
41,3655558940
42,3655558940
43,3655558940
44,3655558940
45,3655558940
46,3655558940
47,3655558940
48,3655558940
49,3655558940
50,3655558940
51,3655558940
52,3655558940
53,3655558940
54,3655558940
55,3655558940
56,3655558940
57,3655558940
58,3655558940
59,3655558940
60,3655558940
61,3655558940
62,3655558940
63,3655558940
64,3655558940
65,3655558940
66,3655558940
67,3655558940
68,3655558940
69,3655558940
70,3655558940
71,3655558940
72,3655558940
73,3655558940
74,3655558940
75,3655558940
76,3655558940
77,3655558940
78,3655558940
79,3655558940
80,3655558940
81,3655558940
82,3655558940
83,3655558940
84,3655558940
85,3655558940
86,3655558940
87,3655558940
88,3655558940
89,3655558940
