Iteration,Cost
0,463100795
1,463100795
2,463100791
3,463100791
4,463100791
5,463100791
6,463100791
7,462707801
8,462707801
9,462707801
10,462707801
11,462707801
12,462707801
13,462707801
14,462707801
15,462083801
16,462083801
17,462083801
18,462083801
19,462083801
20,462083801
21,462083801
22,462083801
23,462083801
24,462083801
25,462083801
26,462083801
27,462083801
28,462083801
29,462083801
30,462083801
31,461378801
32,461378801
33,461378801
34,461378801
35,461378801
36,461378801
37,461377794
38,461377794
39,461377794
40,461377794
41,461377794
42,461377794
43,461377794
44,461377794
