Class ID,Room ID,Day,Start Time,Duration (min),Weeks Active,Penalty,Proper Time
1,18,Friday,14:00,230,12,0,3 hr 50 min
15,12,Friday,17:00,250,1,0,4 hr 10 min
16,23,Wednesday,18:00,110,1,0,1 hr 50 min
19,8,Monday,13:00,50,12,0,50 min
21,22,Wednesday,18:00,110,4,0,1 hr 50 min
22,23,Wednesday,12:00,110,13,30,1 hr 50 min
25,23,Friday,14:30,150,12,0,2 hr 30 min
26,9,Friday,08:00,110,12,0,1 hr 50 min
27,22,Tuesday,16:00,360,13,0,6 hr
28,23,Thursday,18:00,110,10,0,1 hr 50 min
29,13,Wednesday,10:00,110,13,0,1 hr 50 min
30,17,Monday,14:00,110,12,0,1 hr 50 min
31,22,Friday,14:00,230,12,2,3 hr 50 min
32,23,Thursday,10:00,110,13,0,1 hr 50 min
33,22,Monday,13:00,170,12,0,2 hr 50 min
34,8,Monday,12:00,110,12,0,1 hr 50 min
35,16,Monday,14:00,110,12,0,1 hr 50 min
36,30,Monday,10:00,110,12,0,1 hr 50 min
37,25,Monday,14:00,110,12,24,1 hr 50 min
38,27,Wednesday,16:00,110,13,24,1 hr 50 min
39,27,Wednesday,10:00,110,13,0,1 hr 50 min
40,27,Friday,08:00,110,12,0,1 hr 50 min
41,8,Tuesday,14:00,110,13,0,1 hr 50 min
42,3,Thursday,12:00,110,13,0,1 hr 50 min
43,30,Friday,10:00,110,12,0,1 hr 50 min
44,2,Tuesday,15:00,110,13,0,1 hr 50 min
45,21,Tuesday,08:00,110,13,0,1 hr 50 min
46,27,Friday,10:00,110,12,0,1 hr 50 min
47,23,Tuesday,12:00,110,13,0,1 hr 50 min
48,15,Tuesday,12:00,110,13,0,1 hr 50 min
49,15,Tuesday,10:00,110,13,0,1 hr 50 min
50,23,Monday,12:00,110,12,0,1 hr 50 min
51,22,Wednesday,14:00,110,13,12,1 hr 50 min
52,3,Monday,10:00,110,12,0,1 hr 50 min
53,7,Monday,14:00,110,12,0,1 hr 50 min
54,13,Monday,18:00,110,12,8,1 hr 50 min
55,17,Thursday,10:00,110,13,0,1 hr 50 min
56,25,Tuesday,16:00,110,13,6,1 hr 50 min
57,16,Thursday,10:00,110,13,0,1 hr 50 min
58,16,Tuesday,18:00,110,13,10,1 hr 50 min
59,25,Thursday,12:00,110,13,0,1 hr 50 min
60,13,Wednesday,08:00,110,13,0,1 hr 50 min
61,3,Tuesday,16:00,110,13,0,1 hr 50 min
62,25,Friday,10:00,110,12,8,1 hr 50 min
63,7,Tuesday,14:00,110,13,0,1 hr 50 min
64,7,Tuesday,10:00,110,13,0,1 hr 50 min
65,13,Friday,08:00,110,12,0,1 hr 50 min
66,3,Thursday,16:00,110,13,0,1 hr 50 min
67,17,Wednesday,14:00,110,13,0,1 hr 50 min
68,13,Monday,14:00,110,12,0,1 hr 50 min
69,27,Tuesday,12:00,110,13,0,1 hr 50 min
70,3,Friday,08:00,110,12,0,1 hr 50 min
71,17,Monday,14:00,110,12,0,1 hr 50 min
72,21,Wednesday,18:00,110,13,12,1 hr 50 min
73,16,Thursday,08:00,110,13,10,1 hr 50 min
74,23,Tuesday,12:00,110,13,0,1 hr 50 min
75,12,Tuesday,16:00,110,13,6,1 hr 50 min
76,21,Friday,12:00,110,12,0,1 hr 50 min
77,27,Monday,16:00,110,12,0,1 hr 50 min
78,30,Wednesday,14:00,110,13,0,1 hr 50 min
79,13,Wednesday,14:00,110,13,0,1 hr 50 min
80,15,Thursday,08:00,110,13,12,1 hr 50 min
81,26,Thursday,18:00,110,13,14,1 hr 50 min
82,25,Tuesday,10:00,110,13,0,1 hr 50 min
83,22,Wednesday,10:00,110,13,0,1 hr 50 min
84,15,Friday,12:00,110,6,6,1 hr 50 min
85,15,Thursday,16:00,110,6,0,1 hr 50 min
86,13,Thursday,16:00,110,13,0,1 hr 50 min
87,10,Thursday,07:00,170,13,80,2 hr 50 min
88,23,Tuesday,08:00,110,13,0,1 hr 50 min
89,17,Friday,14:00,110,12,2,1 hr 50 min
90,3,Wednesday,10:00,110,13,0,1 hr 50 min
91,25,Thursday,16:00,110,13,40,1 hr 50 min
92,22,Thursday,14:00,110,13,0,1 hr 50 min
93,17,Monday,10:00,110,12,0,1 hr 50 min
94,25,Tuesday,14:00,110,13,30,1 hr 50 min
95,16,Thursday,08:00,110,13,24,1 hr 50 min
96,25,Tuesday,12:00,110,13,0,1 hr 50 min
97,3,Tuesday,08:00,110,13,0,1 hr 50 min
98,3,Wednesday,08:00,110,13,0,1 hr 50 min
99,21,Wednesday,18:00,110,13,10,1 hr 50 min
100,21,Thursday,18:00,110,13,0,1 hr 50 min
101,22,Friday,08:00,110,12,6,1 hr 50 min
102,7,Wednesday,14:00,110,13,0,1 hr 50 min
103,22,Thursday,10:00,110,13,0,1 hr 50 min
104,17,Wednesday,18:00,110,13,2,1 hr 50 min
105,27,Wednesday,16:00,110,13,22,1 hr 50 min
106,17,Friday,16:00,110,12,2,1 hr 50 min
107,12,Monday,16:00,110,12,24,1 hr 50 min
108,25,Friday,10:00,110,12,0,1 hr 50 min
109,27,Monday,18:00,110,12,0,1 hr 50 min
110,8,Monday,16:00,110,12,0,1 hr 50 min
111,23,Tuesday,12:00,110,13,0,1 hr 50 min
112,3,Friday,08:00,50,12,4,50 min
113,25,Tuesday,08:00,50,13,4,50 min
114,7,Monday,16:00,50,12,0,50 min
115,3,Wednesday,16:00,50,13,0,50 min
116,3,Monday,08:00,50,12,0,50 min
117,21,Thursday,08:00,50,13,0,50 min
118,3,Friday,08:00,50,12,0,50 min
119,16,Tuesday,12:00,50,13,0,50 min
120,21,Wednesday,11:00,50,13,0,50 min
121,3,Thursday,10:00,50,13,0,50 min
122,27,Thursday,08:00,110,13,24,1 hr 50 min
123,30,Monday,15:00,110,12,0,1 hr 50 min
124,7,Thursday,14:00,110,13,0,1 hr 50 min
125,8,Wednesday,10:00,110,13,0,1 hr 50 min
126,18,Monday,18:00,110,5,42,1 hr 50 min
127,18,Tuesday,10:00,110,7,0,1 hr 50 min
128,18,Thursday,08:00,110,7,50,1 hr 50 min
129,25,Thursday,12:00,110,13,0,1 hr 50 min
130,25,Thursday,14:00,110,13,6,1 hr 50 min
131,27,Friday,12:00,110,12,0,1 hr 50 min
132,27,Monday,10:00,110,12,0,1 hr 50 min
133,10,Monday,13:00,170,12,10,2 hr 50 min
134,26,Monday,18:00,110,12,42,1 hr 50 min
135,27,Wednesday,14:00,110,13,0,1 hr 50 min
136,3,Thursday,12:00,110,13,0,1 hr 50 min
137,20,Monday,10:00,110,12,0,1 hr 50 min
138,31,Monday,10:00,110,12,30,1 hr 50 min
139,13,Friday,13:00,230,1,2,3 hr 50 min
140,3,Friday,08:00,230,1,0,3 hr 50 min
141,30,Monday,15:00,230,1,2,3 hr 50 min
142,21,Friday,10:00,110,12,0,1 hr 50 min
143,10,Thursday,14:00,110,13,0,1 hr 50 min
144,23,Thursday,10:00,110,13,0,1 hr 50 min
153,25,Wednesday,14:00,110,13,0,1 hr 50 min
154,25,Wednesday,16:00,110,13,0,1 hr 50 min
155,8,Wednesday,14:00,110,13,0,1 hr 50 min
156,13,Wednesday,16:00,110,13,0,1 hr 50 min
157,13,Wednesday,12:00,110,13,0,1 hr 50 min
158,25,Friday,18:00,110,12,2,1 hr 50 min
159,25,Friday,10:00,110,12,0,1 hr 50 min
160,8,Tuesday,12:00,110,13,0,1 hr 50 min
161,13,Tuesday,10:00,110,13,0,1 hr 50 min
162,25,Tuesday,10:00,110,13,0,1 hr 50 min
163,13,Thursday,14:00,110,13,0,1 hr 50 min
164,13,Thursday,16:00,110,13,0,1 hr 50 min
165,25,Tuesday,08:00,110,13,0,1 hr 50 min
166,13,Thursday,14:00,110,13,0,1 hr 50 min
167,25,Tuesday,14:00,110,13,0,1 hr 50 min
168,13,Tuesday,08:00,110,13,0,1 hr 50 min
169,13,Wednesday,18:00,110,13,2,1 hr 50 min
170,13,Wednesday,08:00,110,13,0,1 hr 50 min
171,13,Tuesday,16:00,110,13,0,1 hr 50 min
172,13,Wednesday,12:00,110,13,0,1 hr 50 min
173,13,Thursday,18:00,110,13,2,1 hr 50 min
174,13,Thursday,14:00,110,13,0,1 hr 50 min
175,12,Monday,14:00,110,12,0,1 hr 50 min
176,13,Thursday,12:00,110,13,0,1 hr 50 min
177,25,Friday,18:00,110,12,2,1 hr 50 min
178,25,Tuesday,10:00,110,13,0,1 hr 50 min
179,25,Wednesday,12:00,110,13,0,1 hr 50 min
180,25,Wednesday,12:00,110,13,0,1 hr 50 min
181,13,Tuesday,16:00,110,13,0,1 hr 50 min
182,25,Friday,12:00,110,12,0,1 hr 50 min
183,25,Friday,18:00,110,12,2,1 hr 50 min
184,13,Monday,08:00,110,12,0,1 hr 50 min
185,25,Friday,14:00,110,12,2,1 hr 50 min
186,13,Wednesday,08:00,110,13,0,1 hr 50 min
187,8,Wednesday,12:00,230,13,0,3 hr 50 min
188,25,Friday,08:00,110,12,0,1 hr 50 min
189,25,Thursday,18:00,110,13,2,1 hr 50 min
190,21,Monday,10:00,110,12,0,1 hr 50 min
191,25,Friday,12:00,110,12,0,1 hr 50 min
192,22,Friday,12:00,110,12,0,1 hr 50 min
193,12,Tuesday,10:00,110,13,0,1 hr 50 min
194,17,Friday,10:00,110,12,0,1 hr 50 min
195,35,Thursday,18:00,110,13,2,1 hr 50 min
196,22,Thursday,10:00,110,13,0,1 hr 50 min
197,21,Thursday,18:00,110,13,2,1 hr 50 min
198,21,Thursday,16:00,110,13,0,1 hr 50 min
199,17,Friday,08:00,110,12,0,1 hr 50 min
200,13,Friday,10:00,110,12,0,1 hr 50 min
201,13,Tuesday,10:00,110,13,0,1 hr 50 min
202,12,Thursday,12:00,110,13,0,1 hr 50 min
203,3,Thursday,14:00,110,13,0,1 hr 50 min
204,17,Thursday,10:00,110,13,0,1 hr 50 min
205,6,Monday,14:00,110,12,30,1 hr 50 min
206,13,Wednesday,08:00,110,13,24,1 hr 50 min
207,34,Tuesday,18:00,110,13,32,1 hr 50 min
208,8,Wednesday,08:00,110,13,0,1 hr 50 min
209,16,Tuesday,10:00,230,7,0,3 hr 50 min
210,25,Friday,10:00,110,12,0,1 hr 50 min
211,23,Monday,10:00,110,12,0,1 hr 50 min
212,12,Tuesday,08:00,110,13,0,1 hr 50 min
213,12,Thursday,12:00,110,13,24,1 hr 50 min
214,16,Thursday,10:00,110,13,0,1 hr 50 min
215,21,Monday,18:00,110,12,22,1 hr 50 min
216,22,Wednesday,16:00,110,13,18,1 hr 50 min
217,23,Thursday,12:00,110,13,0,1 hr 50 min
218,30,Tuesday,16:00,110,13,0,1 hr 50 min
219,18,Thursday,12:00,110,13,0,1 hr 50 min
220,22,Tuesday,16:00,110,13,0,1 hr 50 min
221,13,Tuesday,10:00,110,13,0,1 hr 50 min
222,16,Wednesday,12:00,110,13,6,1 hr 50 min
223,18,Friday,18:00,110,12,8,1 hr 50 min
224,3,Wednesday,18:00,110,13,50,1 hr 50 min
225,28,Wednesday,14:00,110,13,0,1 hr 50 min
226,8,Wednesday,14:00,110,13,0,1 hr 50 min
227,8,Wednesday,10:00,110,1,0,1 hr 50 min
228,22,Thursday,10:00,230,1,0,3 hr 50 min
229,22,Thursday,14:00,110,1,0,1 hr 50 min
230,16,Friday,10:00,230,1,0,3 hr 50 min
231,12,Tuesday,12:00,110,1,0,1 hr 50 min
232,23,Monday,11:00,350,1,0,5 hr 50 min
233,25,Monday,10:00,110,1,0,1 hr 50 min
234,12,Tuesday,09:00,110,1,0,1 hr 50 min
235,28,Wednesday,18:00,110,13,2,1 hr 50 min
236,16,Monday,14:00,110,12,0,1 hr 50 min
237,26,Tuesday,10:00,110,7,8,1 hr 50 min
238,26,Tuesday,12:00,110,6,8,1 hr 50 min
239,22,Tuesday,14:00,110,13,0,1 hr 50 min
240,4,Wednesday,10:00,110,13,0,1 hr 50 min
241,4,Wednesday,14:00,110,13,0,1 hr 50 min
242,4,Wednesday,16:00,110,13,0,1 hr 50 min
243,16,Friday,16:00,110,12,82,1 hr 50 min
244,18,Wednesday,12:00,50,13,80,50 min
245,17,Friday,10:00,110,12,0,1 hr 50 min
246,17,Thursday,12:00,110,13,0,1 hr 50 min
247,10,Thursday,08:00,110,7,0,1 hr 50 min
248,11,Tuesday,10:00,110,6,0,1 hr 50 min
